Timestamp,Value,Type
18:45:04.394,"0.073,0.475,0.772,-1.831,61.707,-6.653\r\n",received
18:45:04.409,"0.088,0.454,0.699,6.714,69.336,-17.517\r\n",received
18:45:04.425,"0.108,0.441,0.591,13.611,69.397,-20.325\r\n",received
18:45:04.442,"0.124,0.432,0.532,23.987,68.298,-27.222\r\n",received
18:45:04.457,"0.163,0.355,0.314,26.733,64.514,-29.541\r\n",received
18:45:04.473,"0.180,0.353,0.242,41.870,40.955,-26.978\r\n",received
18:45:04.490,"0.171,0.396,0.212,48.828,26.367,-26.062\r\n",received
18:45:04.506,"0.162,0.368,0.236,54.565,13.123,-27.710\r\n",received
18:45:04.506,"0.161,0.300,0.203,61.951,0.549,-28.442\r\n",received
18:45:04.522,"0.168,0.241,-0.123,64.148,-3.540,-25.269\r\n",received
18:45:04.537,"0.169,0.192,-0.327,70.313,-30.029,-21.790\r\n",received
18:45:04.553,"0.124,0.116,-0.666,69.641,-54.321,-19.043\r\n",received
18:45:04.569,"0.059,0.041,-0.802,38.757,-132.568,-19.836\r\n",received
18:45:04.585,"-0.194,-0.281,-0.689,12.390,-195.190,-19.531\r\n",received
18:45:04.601,"-0.395,-0.394,-0.227,-25.330,-340.027,5.554\r\n",received
18:45:04.618,"-0.843,-0.268,1.257,-41.077,-390.076,27.100\r\n",received
18:45:04.635,"-0.995,-0.116,2.082,-56.458,-412.231,44.922\r\n",received
18:45:04.651,"-1.125,0.074,3.273,43.030,-370.056,59.692\r\n",received
18:45:04.668,"-1.076,-0.049,3.710,183.777,-322.937,52.429\r\n",received
18:45:04.668,"-0.924,-0.257,3.955,173.828,-110.229,42.786\r\n",received
18:45:04.681,"-0.631,0.042,2.581,102.661,23.987,65.979\r\n",received
18:45:04.698,"-0.530,0.325,1.791,88.989,89.722,69.641\r\n",received
18:45:04.713,"-0.403,0.243,1.559,84.290,59.143,44.922\r\n",received
18:45:04.729,"-0.355,0.057,1.639,40.649,40.039,14.648\r\n",received
18:45:04.745,"-0.282,-0.104,1.504,17.761,50.415,13.184\r\n",received
18:45:04.761,"-0.249,-0.115,1.367,-10.437,69.763,16.785\r\n",received
18:45:04.777,"-0.173,-0.074,1.017,-17.273,70.190,21.057\r\n",received
18:45:04.793,"-0.145,0.004,0.941,-18.372,62.439,25.757\r\n",received
18:45:04.809,"-0.127,0.059,0.921,-15.930,46.570,24.658\r\n",received
18:45:04.809,"-0.100,-0.029,0.875,-16.235,43.335,21.240\r\n",received
18:45:04.825,"-0.090,-0.074,0.841,-18.005,37.292,25.391\r\n",received
18:45:04.841,"-0.093,-0.045,0.820,-20.569,32.227,29.419\r\n",received
18:45:04.857,"-0.100,-0.032,0.849,-32.104,20.935,32.349\r\n",received
18:45:04.873,"-0.119,0.045,0.931,-39.490,16.479,33.264\r\n",received
18:45:04.890,"-0.132,0.100,0.979,-54.382,9.644,30.334\r\n",received
18:45:04.905,"-0.158,0.138,1.108,-57.800,8.362,27.100\r\n",received
18:45:04.921,"-0.168,0.165,1.150,-57.312,9.949,25.208\r\n",received
18:45:04.937,"-0.178,0.230,1.162,-50.720,16.174,22.827\r\n",received
18:45:04.953,"-0.196,0.333,1.181,-50.537,17.029,18.188\r\n",received
18:45:04.953,"-0.205,0.348,1.226,-53.711,18.738,7.019\r\n",received
18:45:04.969,"-0.210,0.277,1.263,-53.711,23.682,1.648\r\n",received
18:45:04.985,"-0.204,0.231,1.235,-46.814,33.997,-0.183\r\n",received
18:45:04.985,"\r\n",received
18:45:05.626,"-0.701,-0.210,2.045,17.822,-273.865,17.395\r\n",received
18:45:05.642,"-0.735,-0.158,2.266,-4.822,-208.069,29.053\r\n",received
18:45:05.657,"-0.697,-0.173,2.445,-3.540,-170.776,43.579\r\n",received
18:45:05.673,"-0.682,0.072,2.432,68.726,-88.379,77.393\r\n",received
18:45:05.689,"-0.626,0.475,2.088,84.045,-57.190,70.557\r\n",received
18:45:05.705,"-0.581,0.393,1.952,71.777,-29.358,36.194\r\n",received
18:45:05.705,"-0.529,0.258,1.818,63.538,-22.888,29.053\r\n",received
18:45:05.722,"-0.514,0.287,1.777,43.762,-10.742,22.827\r\n",received
18:45:05.737,"-0.490,0.386,1.625,32.471,-3.235,17.456\r\n",received
18:45:05.754,"-0.483,0.409,1.568,22.217,2.625,9.277\r\n",received
18:45:05.769,"-0.480,0.377,1.547,-1.953,13.245,-10.254\r\n",received
18:45:05.786,"-0.473,0.211,1.465,-13.306,20.081,-16.052\r\n",received
18:45:05.801,"-0.460,0.166,1.406,-17.761,32.654,-14.832\r\n",received
18:45:05.817,"-0.443,0.215,1.298,-16.174,38.940,-12.390\r\n",received
18:45:05.833,"-0.452,0.261,1.252,-27.466,46.997,-14.648\r\n",received
18:45:05.850,"-0.514,0.392,1.356,-39.917,45.471,-18.677\r\n",received
18:45:05.850,"-0.564,0.497,1.489,-81.787,40.405,-44.006\r\n",received
18:45:05.866,"-0.603,0.195,1.901,-99.609,40.955,-63.599\r\n",received
18:45:05.881,"-0.571,0.021,1.946,-92.407,59.021,-68.359\r\n",received
18:45:05.897,"-0.508,0.009,1.730,-47.913,125.916,-42.419\r\n",received
18:45:05.913,"-0.361,0.173,1.178,-30.701,145.996,-33.508\r\n",received
18:45:05.930,"-0.307,0.217,0.973,-32.532,143.127,-35.034\r\n",received
18:45:05.945,"-0.229,0.147,0.892,-43.152,126.038,-41.992\r\n",received
18:45:05.961,"-0.197,0.055,0.963,-66.284,106.079,-51.086\r\n",received
18:45:05.977,"-0.138,-0.024,0.904,-72.693,109.314,-48.645\r\n",received
18:45:05.993,"-0.101,-0.021,0.800,-71.960,112.122,-39.612\r\n",received
18:45:05.993,"-0.039,0.014,0.687,-69.824,107.361,-34.302\r\n",received
18:45:06.9,"-0.016,0.025,0.700,-66.772,101.074,-30.273\r\n",received
18:45:06.25,"0.008,0.003,0.699,-65.186,96.436,-24.536\r\n",received
18:45:06.42,"0.057,-0.009,0.579,-62.683,96.008,-17.822\r\n",received
18:45:06.58,"0.075,0.058,0.530,-51.208,86.792,-2.808\r\n",received
18:45:06.74,"0.096,0.216,0.508,-49.927,79.651,-1.709\r\n",received
18:45:06.89,"0.105,0.212,0.524,-50.232,69.092,-7.812\r\n",received
18:45:06.105,"0.126,0.168,0.500,-48.401,65.247,-6.836\r\n",received
18:45:06.121,"0.135,0.200,0.498,-30.701,57.434,4.395\r\n",received
18:45:06.137,"0.136,0.375,0.539,-18.921,56.091,7.568\r\n",received
18:45:06.137,"0.128,0.385,0.501,-13.550,56.824,5.188\r\n",received
18:45:06.154,"0.136,0.351,0.411,-20.264,45.593,2.686\r\n",received
18:45:06.169,"0.151,0.373,0.390,-16.113,29.724,6.592\r\n",received
18:45:06.185,"0.146,0.456,0.468,0.000,3.723,11.108\r\n",received
18:45:06.202,"0.133,0.561,0.579,2.930,-1.587,7.629\r\n",received
18:45:06.218,"0.125,0.553,0.605,4.517,-6.714,-3.296\r\n",received
18:45:06.235,"0.111,0.474,0.679,6.897,-8.240,-6.897\r\n",received
18:45:06.251,"0.108,0.440,0.692,10.437,-7.996,-8.179\r\n",received
18:45:06.268,"0.111,0.433,0.665,21.545,-6.653,-5.615\r\n",received
18:45:06.268,"0.114,0.431,0.656,29.114,-7.080,-4.456\r\n",received
18:45:06.282,"0.112,0.429,0.653,42.847,-9.583,-3.662\r\n",received
18:45:06.297,"0.101,0.426,0.645,43.396,-12.268,-5.310\r\n",received
18:45:06.314,"0.102,0.377,0.657,38.818,-19.531,-11.963\r\n",received
18:45:06.329,"0.110,0.245,0.679,40.405,-21.729,-11.475\r\n",received
18:45:06.346,"0.112,0.237,0.647,52.124,-23.254,-2.258\r\n",received
18:45:06.361,"0.110,0.252,0.522,57.983,-25.696,0.793\r\n",received
18:45:06.377,"0.103,0.250,0.469,62.378,-30.884,1.953\r\n",received
18:45:06.393,"0.089,0.238,0.447,68.481,-47.668,0.671\r\n",received
18:45:06.410,"0.055,0.138,0.455,70.679,-56.213,-0.610\r\n",received
18:45:06.410,"0.046,0.070,0.462,76.294,-72.144,4.517\r\n",received
18:45:06.426,"0.029,0.044,0.513,86.792,-78.552,10.925\r\n",received
18:45:06.442,"0.023,0.077,0.499,100.830,-83.496,17.151\r\n",received
18:45:06.457,"0.006,0.117,0.371,100.281,-86.853,14.832\r\n",received
18:45:06.473,"-0.018,0.106,0.305,99.182,-93.445,10.803\r\n",received
18:45:06.490,"-0.054,0.047,0.275,94.910,-120.239,-2.319\r\n",received
18:45:06.505,"-0.169,-0.200,0.542,93.018,-138.977,-7.812\r\n",received
18:45:06.521,"-0.228,-0.307,0.812,88.318,-157.532,-4.089\r\n",received
18:45:06.537,"-0.289,-0.381,1.096,81.970,-150.269,5.371\r\n",received
18:45:06.553,"-0.309,-0.296,1.047,64.148,-137.878,26.184\r\n",received
18:45:06.553,"-0.419,-0.027,1.113,53.284,-153.870,20.142\r\n",received
18:45:06.569,"-0.481,-0.172,1.452,22.156,-183.716,-2.930\r\n",received
18:45:06.585,"-0.552,-0.363,2.012,39.368,-166.809,8.423\r\n",received
18:45:06.601,"-0.547,-0.305,2.029,91.919,-101.990,49.377\r\n",received
18:45:06.618,"-0.533,-0.014,1.793,105.530,-76.660,62.134\r\n",received
18:45:06.634,"-0.528,0.122,1.711,111.877,-63.110,64.209\r\n",received
18:45:06.652,"-0.523,0.204,1.702,92.651,-57.800,41.138\r\n",received
18:45:06.665,"-0.532,0.089,1.765,64.575,-52.368,24.414\r\n",received
18:45:06.681,"-0.531,-0.025,1.751,21.179,-28.809,8.423\r\n",received
18:45:06.698,"-0.520,0.009,1.662,14.343,-15.930,10.681\r\n",received
18:45:06.698,"-0.516,0.103,1.606,-5.615,4.578,6.592\r\n",received
18:45:06.714,"-0.509,0.110,1.521,-22.400,10.925,-2.319\r\n",received
18:45:06.729,"-0.502,0.061,1.518,-36.621,24.536,-16.113\r\n",received
18:45:06.746,"-0.477,-0.082,1.458,-44.312,36.377,-16.602\r\n",received
18:45:06.761,"-0.471,-0.089,1.363,-54.687,49.377,-11.780\r\n",received
18:45:06.777,"-0.469,-0.005,1.211,-77.759,53.101,-8.240\r\n",received
18:45:06.793,"-0.471,0.019,1.356,-72.815,40.833,-15.503\r\n",received
18:45:06.809,"-0.473,0.062,1.467,-39.856,57.129,-17.151\r\n",received
18:45:06.825,"-0.460,0.102,1.330,-37.781,69.031,-23.743\r\n",received
18:45:06.841,"-0.451,0.027,1.373,-40.466,69.336,-40.833\r\n",received
18:45:06.841,"-0.419,-0.098,1.532,-36.011,77.148,-41.565\r\n",received
18:45:06.857,"-0.395,-0.090,1.474,-39.612,112.732,-31.555\r\n",received
18:45:06.874,"-0.328,-0.021,1.119,-56.458,122.314,-28.076\r\n",received
18:45:06.890,"-0.294,0.010,1.035,-78.735,112.366,-31.616\r\n",received
18:45:06.905,"-0.240,0.014,1.018,-81.726,108.398,-36.377\r\n",received
18:45:06.921,"-0.214,0.014,0.973,-83.008,108.459,-40.100\r\n",received
18:45:06.937,"-0.151,-0.015,0.803,-83.069,109.558,-44.861\r\n",received
18:45:06.953,"-0.119,-0.063,0.732,-81.909,106.689,-45.837\r\n",received
18:45:06.970,"-0.093,-0.108,0.705,-73.242,94.788,-37.292\r\n",received
18:45:06.985,"-0.053,-0.086,0.682,-70.923,90.027,-28.015\r\n",received
18:45:07.2,"-0.035,-0.015,0.660,-69.275,80.139,-13.245\r\n",received
18:45:07.18,"-0.001,0.120,0.667,-66.833,75.012,-11.292\r\n",received
18:45:07.18,"0.019,0.130,0.628,-63.660,69.763,-13.184\r\n",received
18:45:07.35,"0.058,0.127,0.508,-58.716,64.331,-12.024\r\n",received
18:45:07.51,"0.067,0.154,0.497,-41.504,45.715,-7.202\r\n",received
18:45:07.68,"0.068,0.188,0.584,-32.410,36.011,-5.859\r\n",received
18:45:07.82,"0.065,0.189,0.654,-23.010,28.992,-4.456\r\n",received
18:45:07.97,"0.066,0.204,0.682,-13.977,26.001,0.427\r\n",received
